제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
하늘을 날아다니는 특수부대 (레식),레식/레인보우식스 시즈 아마루/레인보우식스 고요/레식 아마루/레식 고요/레식 엠버라이즈/ 레식 신오퍼/신오퍼/ 레식 강의,135471,8:52,2019-09-05,181,"1,874"
실수로 빠진 양아지와의 우결결과 ㅋㅋㅋㅋ,양아지/ 우결/ 양아지/양아지 우결,56229,1:11,2019-09-03,169,"1,466"
그래서 양아지님이랑 우결 하나요?,데드스페이스/ 우결/우결/ 양아지/양아지/양아지 데드스페이스/ 데드스페이스/데드스페이스2,58850,10:02,2019-09-03,190,"1,295"
0.01퍼센트짜리 공포게임 벌칙ㅋㅋㅋㅋㅋㅋ,레식/오버워치/배틀그라운드/데드스페이스/공포게임/공포게임 벌칙/ 데드스페이스/ 공포게임/데드스페이스 작은별/데드스페이스 애니/데드스페이스 가디언/데드스페이스 스토리/dead space,50559,10:54,2019-09-02,207,"1,161"
레식 스트리머대전 중에도 인성질을,레식/레식 스트리머 대전/레식 스트리머 내전/레식 스트리머 이벤트매치/레식 스트리머/ 스트리머 대전/스트리머 대전/ 레식/레식 ,107586,6:46,2019-09-01,247,"2,163"
스펀지 밥 마을에서 개판 숨바꼭질 ㅋㅋㅋㅋㅋㅋㅋㅋ,카운터스트라이크 온라인/카스온라인/카스온라인 숨바꾹질/숨바꼭질/ 숨바꼭질/숨바꼭질 온라인/스폰지밥/스폰지밥 숨바꼭질,107007,10:44,2019-08-30,139,"2,028"
오버워치 아나 한방전 리메이크!? 편집자 벌레컷 ^^7,레식/오버워치/오버워치 아나한방전/오버워치 아방전/아나한방전 리메이크/ 오버워치 워크샵/ 워크샵/오버워치 워크샵/ 오버워치/Overwatch,81654,6:38,2019-08-29,159,"1,429"
테러리스트의 본진을 습격하는 특수부대 - 아르마(2/2),특수부대/아르마3/아르마/ 아르마/ARMA3/FPS,34120,10:28,2019-08-27,94,"1,159"
테러리스트에게 납치된 민간인을 구출하는 특수부대 꼬라지 - 아르마3 (1/2),아르마3/테러리스트/납치/피랍/ 아르마/아르마/특수부대,46295,10:25,2019-08-26,124,"1,011"
레식의 무서움을 스트리머들에게 알려주기 ㅋㅋㅋㅋ,레식/레인보우식스 시즈/ 시즈/ 레식/레식 강의/ 레식 강의/r6s/시즈,103357,8:19,2019-08-25,229,"1,600"
오버워치 시그마 개사기조합 알아냄 ㅋㅋㅋ 곧 랭커감,오버워치 시그마/ 시그마/시그마 장인/시그마 조합/오버워치 시그마 조합/Overwatch/오버워치,137526,10:36,2019-08-24,290,"1,787"
여기 영상에 나오는 스트리머들 한번씩 다 죽여봄 ㅋㅋㅋㅋㅋ,러스트/트위치/스트리머/러스트 대규모 합방/ 러스트/ 스트리머/ 스트리머 합방/ 스트리머 대전/ 스트리머 서버/ 러스트 스트리머 서버,47836,10:00,2019-08-21,114,986
오버워치 플랫폼 대전이 현실로?? 트위치 VS 아프리카 갑니다.,레식/오버워치/배틀그라운드/태준/이태준/킴해적단/킴성태/맛종욱/이지상/메르시메로나/서새봄/김재원/박사장/ 오버워치/트위치vs아프리카/플랫폼대전/오버워치 플랫폼대전,89852,13:34,2019-08-20,241,"1,500"
레식 대규모 컨텐츠가 드디어 한국에서도 열린다고? Ac,레식/레인보우식스 시즈/ 레식/ 레인보우식스 시즈/r6s/시즈/시즈 공략/레식 공략/레식 강의,76232,10:15,2019-08-18,258,"1,400"
게임인생 최초로 치킨먹방 숙제를 받았습니다., 네네치킨/네네치킨/치킨 먹방/치킨 광고/검은사막 네네치킨/너에게란/검은사막m/네네치킨 검은사막,96817,10:21,2019-08-16,407,"2,000"
오버워치 본섭에 2/2/2와 시그마가 나와서 충격먹은 영상,오버워치 222/ 오버워치/ Overwatch/ 겐지/오버워치 시그마/시그마 본섭/오버워치,146366,10:42,2019-08-14,580,"1,900"
오버워치에 행동이 랜덤으로 금지되는 데스매치가 나옴 ㅋㅋㅋㅋ,오버워치/Overwatch/행동 금지 데스매치/위험한 초대/ 오버워치/ 워크샵,267365,10:06,2019-08-13,292,"2,800"
오버워치에서 둠피스트를 괴롭히는 방법 ㅋㅋㅋㅋㅋㅋ,오버워치/overwatch/오버워치  오버워치 overwatch/오버워치 둠피스트/둠피스트/솜브라,229546,10:03,2019-08-09,618,"2,800"
이거보고 어제부터 지금까지 웃는 중 ㅋㅋㅋㅋㅋ, 휴먼 폴 플랫/휴먼 폴 플랫,72416,10:06,2019-08-08,194,"1,600"
웃느라고 유튜브 제목 생각 못했습니다. ㅋㅋㅋㅋ,휴먼 폴 플랫/웃느라 제목 생각 못함/ 휴먼 폴 플랫,109030,10:04,2019-08-06,234,"2,100"
오버워치 하다가 끝도 없이 비굴해지는 스트리머들 ㅋㅋㅋㅋㅋㅋ,레식/오버워치/ 오버워치/oVERWATCH/오버워치 ,246803,11:02,2019-08-04,240,"2,800"
오버워치하다가 숨바꼭질에 고여버린 사람 ㅋㅋㅋㅋ,오버워치/ 오버워치/Overwatch/오버워치 숨바꼭질/숨바꼭질/오버워치 워크샵/워크샵,494542,10:24,2019-08-03,310,"3,900"
게임하다 외국인 진심으로 감탄시켜버림,에이펙스 레전드/에펙/ 에이펙스/ 에이펙스 레전드/apex legends/apex/에이펙스,94847,10:04,2019-08-01,201,"1,300"
오버워치에서 가장 공격력이 강한 영웅, 오버워치/오버워치/Overwatch/바스티온/바스티온 오버워치/오버워치 바스티온,284140,10:34,2019-07-31,447,"3,200"
저 양아지님이랑 우결할 지도 모릅니다.,양아지 우결/우결/ 양아지/우리결혼했어요/트박스,234063,10:24,2019-07-28,1092,"4,600"
레식에서 적팀을 제일 빡치게 하는 법 ㅋㅋㅋㅋ,레식/레식 에코/레식 매버릭/ 레식/레인보우식스 시즈/rainbowsix siege/r6s/레식 피시방 무료화/ 시즈,119514,10:03,2019-07-26,158,"1,500"
오버워치 신캐 시그마 최소 딜킬금 100%보장! 짱인데..?,오버워치/오버워치 시그마/시그마/시그마 역재생/오버워치 시그마 리뷰/시그마 리뷰/오버워치 신영웅/오버워치 신캐/ 시그마/시그마 공략,271915,11:01,2019-07-24,"1,107","2,800"
사실 저는 유명 아이돌이랑 X발 트고 지내는 사이입니다.(재업),에이펙스/에이펙스 레전드/콩비니/홍빈/이홍빈/빅스 이홍빈/빅스 홍빈/ 홍빈/ 콩비니/ 에이펙스 레전드/에이펙스 apex legends,31086,10:00,2019-07-23,102,734
오버워치에서 가장 강한 영웅,오버워치/ 오버워치/오버워치 위도우/위도우/OVERWATCH,207126,6:13,2019-07-23,440,"2,100"
